trial_id,start_ms,duration_ms,fix_x,fix_y,exp_id,end_ms,program
8,250,184,423.4375,378.083343505859,0,434,rectangle
8,567,200,324.711547851563,67.538459777832,0,767,rectangle
8,867,183,415.625,-3.75,0,1050,rectangle
8,1284,283,444.852935791016,159.11764526367202,0,1567,rectangle
8,2034,867,366.03079223632795,133.84289550781298,0,2901,rectangle
8,2951,317,469.0625,143.449996948242,0,3268,rectangle
8,3352,233,397.5,210.0,0,3585,rectangle
8,3785,183,619.6875,221.5,0,3968,rectangle
8,4102,383,782.34375,205.875,0,4485,rectangle
8,4552,433,416.574066162109,275.481475830078,0,4985,rectangle
8,5619,317,405.0625,322.70001220703097,0,5936,rectangle
8,5953,466,424.91378784179705,295.82757568359403,0,6419,rectangle
8,6470,350,378.97726440429705,496.909088134766,0,6820,rectangle
8,7103,167,632.045471191406,513.181823730469,0,7270,rectangle
8,7287,233,574.75,515.333312988281,0,7520,rectangle
8,7537,166,670.340881347656,523.727294921875,0,7703,rectangle
8,12822,200,492.5,774.3076782226559,0,13022,rectangle
8,13106,200,580.096130371094,771.1538696289059,0,13306,rectangle
8,13356,150,783.75,775.2000122070309,0,13506,rectangle
8,13539,434,884.305541992188,778.5925903320309,0,13973,rectangle
8,14006,250,591.25,782.375,0,14256,rectangle
8,14706,451,494.73214721679705,783.2142944335941,0,15157,rectangle
8,15240,167,427.159088134766,769.272705078125,0,15407,rectangle
8,15457,233,497.916656494141,837.599975585938,0,15690,rectangle
8,16024,166,660.454528808594,770.636352539063,0,16190,rectangle
8,16224,267,844.11767578125,779.7647094726559,0,16491,rectangle
8,16507,334,913.3928833007809,785.619018554688,0,16841,rectangle
8,17291,333,474.047607421875,819.619018554688,0,17624,rectangle
8,17975,300,677.5657958984381,815.368408203125,0,18275,rectangle
8,18291,184,703.125,826.5833129882809,0,18475,rectangle
8,18491,151,659.375,826.2999877929691,0,18642,rectangle
8,18675,267,685.0,890.6470336914059,0,18942,rectangle
8,19125,384,659.479187011719,814.0416870117191,0,19509,rectangle
8,20059,233,569.166687011719,489.266662597656,0,20292,rectangle
8,20325,217,465.89285278320295,371.714294433594,0,20542,rectangle
8,20576,250,445.78125,227.375,0,20826,rectangle
8,20909,200,362.5,234.307693481445,0,21109,rectangle
8,21159,234,387.666656494141,169.13333129882798,0,21393,rectangle
8,21759,217,578.9285888671881,521.4285888671881,0,21976,rectangle
8,22410,167,441.70455932617205,599.909118652344,0,22577,rectangle
8,22593,184,468.020843505859,666.333312988281,0,22777,rectangle
8,22793,184,414.270843505859,658.833312988281,0,22977,rectangle
8,23010,267,627.941162109375,660.0,0,23277,rectangle
8,23327,300,710.131591796875,671.421081542969,0,23627,rectangle
8,23660,717,845.9943237304691,676.8636474609381,0,24377,rectangle
8,24427,150,728.625,617.0999755859381,0,24577,rectangle
8,24627,334,645.0,598.714294433594,0,24961,rectangle
8,24978,400,685.299987792969,588.719970703125,0,25378,rectangle
8,25394,284,650.486083984375,548.777770996094,0,25678,rectangle
8,25695,200,653.269226074219,523.4615478515631,0,25895,rectangle
8,25911,334,694.880981445313,506.238098144531,0,26245,rectangle
8,26528,434,480.324066162109,275.59259033203097,0,26962,rectangle
8,26978,317,469.75,320.20001220703097,0,27295,rectangle
8,27312,283,479.097229003906,357.61111450195295,0,27595,rectangle
8,27612,350,433.068176269531,380.863647460938,0,27962,rectangle
8,27979,217,607.857116699219,516.5714111328131,0,28196,rectangle
8,28279,217,358.214294433594,338.0,0,28496,rectangle
8,28512,517,681.9921875,235.375,0,29029,rectangle
8,29296,217,804.1071166992191,824.7142944335941,0,29513,rectangle
8,29530,516,806.4453125,770.53125,0,30046,rectangle
8,30063,467,692.112060546875,788.586181640625,0,30530,rectangle
8,30547,500,648.3870849609381,808.6774291992191,0,31047,rectangle
8,31080,217,478.303558349609,815.0,0,31297,rectangle
8,31330,334,506.071441650391,475.428558349609,0,31664,rectangle
